nºAp,codigo,MAC
Ap0,a,90:f6:52:dc:17:4a
Ap1,b,46:3f:8c:f8:b0:7a
Ap2,c,6c:b0:ce:3d:e4:e3
Ap3,d,9a:da:c4:fa:52:da
Ap4,e,f4:b5:aa:80:cf:b4
Ap5,f,f8:0f:6f:22:42:00
Ap6,g,50:9f:27:cf:80:fe
Ap7,h,d4:6e:0e:3a:82:ea
Ap8,i,a0:f3:c1:d4:35:70
Ap9,j,c0:25:67:7a:43:29
Ap10,k,fa:8f:ca:72:fa:cd
Ap11,l,90:f6:52:dc:15:4a
Ap12,m,b2:be:76:a0:0b:ef
Ap13,n,c0:4a:00:a4:6b:a8
Ap14,o,b2:be:76:a0:0b:ee
Ap15,p,1c:8e:5c:2e:e3:f3
Ap16,q,90:f6:52:f5:cf:42
Ap17,r,98:da:c4:fa:52:db
Ap18,s,90:f6:52:dc:17:b0
Ap19,t,b0:be:76:a0:0b:ee
Ap20,u,9a:da:c4:fa:52:db
Ap21,v,b0:be:76:a0:0b:ef
Ap22,w,f8:0f:6f:22:42:0f
Ap23,x,0c:80:63:64:f3:5a
Ap24,y,c2:4a:00:a4:6b:a8
Ap25,z,0e:80:63:64:f3:5a
Ap26,A,8c:e0:81:7d:e2:02
Ap27,B,a8:b4:56:0d:b4:a0
Ap28,C,08:b4:b1:46:ff:09
Ap29,D,f8:0f:6f:22:42:4f
Ap30,E,e4:47:b3:b5:41:c0
Ap31,F,92:f6:52:dc:17:96
Ap32,G,ae:84:c6:ff:80:2c
Ap33,H,b0:95:75:fc:ff:77
Ap34,I,50:d4:f7:3c:d6:2e
Ap35,J,90:f6:52:dc:2e:88
Ap36,K,92:f6:52:f5:d1:d8
Ap37,L,8c:e0:81:7d:f2:4c
Ap38,M,e4:47:b3:f0:3a:38
Ap39,N,a8:b4:56:0d:b4:af
Ap40,O,38:46:08:50:77:88
Ap41,P,c4:e9:84:60:8d:9c
Ap42,Q,54:e6:fc:da:17:4e
Ap43,R,f8:0f:6f:22:42:40
Ap44,S,b0:be:76:db:8d:98
Ap45,T,38:46:08:53:2b:36
Ap46,U,98:da:c4:fa:53:f5
Ap47,V,f4:b5:aa:80:88:14
Ap48,W,6a:ff:7b:61:b4:ed
Ap49,X,9a:da:c4:fa:53:95
Ap50,Y,e4:47:b3:f0:d6:74
Ap51,0,8c:e0:81:7d:a5:a8
Ap52,1,98:da:c4:fa:52:da
Ap53,2,90:f6:52:f5:d7:50
Ap54,Z,90:f6:52:dc:17:96
Ap55,3,44:ff:ba:1e:be:6a
Ap56,4,c0:4a:00:65:a5:94
Ap57,5,34:4b:50:28:a4:88
Ap58,6,90:f6:52:f5:d7:4e
Ap59,7,84:74:2a:00:ca:8a
Ap60,.,24:d3:f2:f9:87:f6
Ap61,8,92:f6:52:f5:d1:7a
Ap62,9,5c:3a:3d:a2:0c:9f
Ap63,lo,ac:84:c6:ff:80:2c
Ap64,[,8c:e0:81:7d:a8:14
Ap65,],68:ff:7b:61:b4:ed
Ap66,-,98:da:c4:fa:53:95
Ap67,=,9a:da:c4:fa:53:f5
Ap68,_,0c:80:63:64:f2:d3
Ap69,+,e4:c3:2a:1b:b6:c3
Ap70,(,74:da:88:d5:4c:e2
Ap71,),9a:da:c4:fa:7d:ce
Ap72,\\u0026,0c:80:63:b2:02:02
Ap73,^,b0:4e:26:19:95:f9
Ap74,!,08:b4:b1:46:ff:a3
Ap75,ba,b0:4e:26:87:71:1e
Ap76,bb,92:f6:52:f5:d2:ae
Ap77,bc,92:f6:52:f5:d1:da
Ap78,bd,ac:84:c6:cd:49:e6
Ap79,be,92:f6:52:dc:14:b6
Ap80,bf,40:3f:8c:f8:b0:7b
Ap81,bg,90:f6:52:dc:2c:66
Ap82,bh,90:f6:52:f5:d1:d8
Ap83,bi,34:4b:50:27:c6:0d
Ap84,bj,c0:9f:e1:cc:31:28
Ap85,bk,90:f6:52:58:4b:88
Ap86,bl,90:f6:52:dc:14:b6
Ap87,bm,90:f6:52:f5:d2:ce
Ap88,bn,08:b4:b1:46:fe:e8
Ap89,bo,0c:80:63:64:f3:2d
Ap90,bp,68:ff:7b:13:f3:dc
Ap91,bq,0e:80:63:64:f3:2d
Ap92,br,a0:04:60:89:27:fd
Ap93,bs,b0:4e:26:37:55:f6
Ap94,bt,34:4d:ea:61:99:f6
Ap95,bu,d8:07:b6:15:b5:b8
Ap96,bv,8c:e0:81:7d:25:56
Ap97,bw,e4:c3:2a:1b:b6:c2
Ap98,bA,b0:be:76:a9:5e:6e
Ap99,bB,60:32:b1:1b:32:0e
Ap100,bx,c8:3a:35:22:c7:08
Ap101,by,90:f6:52:f5:d1:da
Ap102,bz,9c:9d:7e:87:83:f1
Ap103,bC,f8:d1:11:56:44:b8
Ap104,bD,74:da:88:d5:4c:e3
Ap105,bE,c0:25:67:7a:43:2c
Ap106,bF,52:3f:8c:f8:b0:76
Ap107,bG,0c:80:63:64:f1:a1
Ap108,bH,92:f6:52:f5:d2:be
Ap109,bI,0e:80:63:64:f1:a1
Ap110,bJ,90:f6:52:f5:d2:be
Ap111,bK,f8:0f:6f:f9:98:00
Ap112,bL,34:4b:50:27:c7:ed
Ap113,bM,60:32:b1:1b:2d:b6
Ap114,bN,f8:d1:11:ad:95:72
Ap115,bO,92:f6:52:dc:17:08
Ap116,bP,f4:b5:aa:80:88:15
Ap117,bQ,f8:0f:6f:22:05:8f
Ap118,bR,9a:da:c4:fa:54:01
Ap119,bS,98:da:c4:fa:3e:b9
Ap120,bT,8c:e1:17:e0:e8:86
Ap121,bU,98:da:c4:fa:54:01
Ap122,bV,4c:5e:0c:f2:53:75
Ap123,bW,68:57:2d:8e:a1:6e
Ap124,bX,f8:0f:6f:22:05:80
Ap125,bY,32:cd:a7:23:93:87
Ap126,b0,f8:0f:6f:d7:52:00
Ap127,bZ,8c:e1:17:e0:2d:06
Ap128,b1,d8:47:32:60:a3:56
