nºAp,MAC
Ap0,d4:6e:0e:3a:82:ea
Ap1,90:f6:52:dc:17:b0
Ap2,68:ff:7b:61:b4:ec
Ap3,c0:25:67:7a:43:29
Ap4,9a:da:c4:fa:52:da
Ap5,e4:47:b3:b5:41:c0
Ap6,6a:ff:7b:61:b4:ed
Ap7,c0:4a:00:a4:6b:a8
Ap8,0c:80:63:b2:02:02
Ap9,f8:0f:6f:22:42:0f
Ap10,54:e6:fc:da:17:4e
Ap11,0c:80:63:64:f1:a1
Ap12,f8:0f:6f:22:42:00
Ap13,b2:be:76:a0:0b:ee
Ap14,b2:be:76:a0:0b:ef
Ap15,9a:da:c4:fa:52:db
Ap16,9a:da:c4:fa:7d:ce
Ap17,e4:47:b3:f0:3a:38
Ap18,6a:ff:7b:61:b4:ec
Ap19,f8:0f:6f:22:42:4f
Ap20,98:da:c4:fa:52:da
Ap21,74:da:88:d5:4c:e2
Ap22,98:da:c4:fa:52:db
Ap23,b0:be:76:a0:0b:ee
Ap24,90:f6:52:dc:2e:88
Ap25,b0:be:76:a0:0b:ef
Ap26,c2:4a:00:a4:6b:a8
Ap27,90:f6:52:dc:14:b6
Ap28,ac:84:c6:ff:80:2c
Ap29,0c:80:63:64:f3:5a
Ap30,90:f6:52:58:4b:88
Ap31,a8:b4:56:0d:b4:a0
Ap32,92:f6:52:f5:d2:be
Ap33,90:f6:52:f5:d1:d8
Ap34,92:f6:52:f5:d1:7a
Ap35,92:f6:52:f5:d1:d8
Ap36,90:f6:52:f5:d2:be
Ap37,f8:0f:6f:f9:98:00
Ap38,68:ff:7b:61:b4:ed
Ap39,e4:47:b3:f0:d6:74
Ap40,9a:da:c4:fa:54:01
Ap41,90:f6:52:f5:d7:4e
Ap42,90:f6:52:f5:d1:7a
Ap43,c0:9f:e1:cc:31:28
Ap44,50:d4:f7:3c:d6:2e
Ap45,b0:be:76:db:8d:98
Ap46,98:da:c4:fa:53:95
Ap47,90:f6:52:f5:d7:50
Ap48,0c:80:63:64:f1:ec
Ap49,0e:80:63:64:f1:ec
Ap50,f8:0f:6f:90:80:00
Ap51,98:da:c4:fa:7d:ce
Ap52,5c:3a:3d:a2:0c:9f
Ap53,92:f6:52:dc:14:b6
Ap54,90:f6:52:f5:d0:da
Ap55,9a:da:c4:e1:8a:21
Ap56,34:4b:50:28:a4:88
Ap57,98:da:c4:e1:8a:21
Ap58,40:3f:8c:f8:b0:7a
Ap59,f8:0f:6f:d7:52:00
Ap60,0c:80:63:64:f2:d3
Ap61,90:f6:52:f5:d2:fc
Ap62,d8:47:32:60:a3:56
Ap63,9a:da:c4:fa:53:95
Ap64,d8:07:b6:16:16:94
Ap65,ae:84:c6:ff:80:2c
Ap66,0e:80:63:64:f1:a1
Ap67,e4:c3:2a:1b:b6:c3
Ap68,f4:b5:aa:80:cf:b4
Ap69,8c:e0:81:7d:a5:a8
Ap70,0c:80:63:64:f3:2d
Ap71,8c:e0:81:7d:e2:02
Ap72,0e:80:63:64:f2:d3
Ap73,92:f6:52:f5:d0:da
Ap74,90:f6:52:dc:17:08
Ap75,0e:80:63:64:f3:2d
Ap76,34:fa:40:0a:ee:6e
Ap77,40:3f:8c:f8:b0:7b
Ap78,98:da:c4:fa:57:ee
Ap79,8c:e1:17:e0:2d:06
Ap80,98:da:c4:fa:54:01
Ap81,d8:07:b6:15:b5:b8
Ap82,34:fa:40:02:c0:4c
Ap83,68:57:2d:8e:a1:6e
Ap84,0e:80:63:64:f3:5a
Ap85,84:74:2a:00:ca:8a
Ap86,f8:0f:6f:f9:af:80
Ap87,ac:84:c6:cd:49:e6
Ap88,d8:47:32:7d:5e:77
Ap89,24:d3:f2:f9:87:f6
Ap90,92:f6:52:f5:d7:4e
Ap91,b0:4e:26:87:71:1e
Ap92,b0:95:75:fc:ff:77
