nºAp,codigo,MAC
Ap0,A,8c:e0:81:7d:e2:02
Ap1,a,90:f6:52:f5:d7:50
Ap2,b,2c:95:7f:61:3a:9c
Ap3,c,f8:0f:6f:22:42:00
Ap4,d,f8:0f:6f:22:42:4f
Ap5,e,a0:f3:c1:d4:3d:a2
Ap6,f,b2:be:76:a0:0b:ef
Ap7,g,d4:6e:0e:3a:82:ea
Ap8,h,c0:4a:00:a4:6b:b6
Ap9,i,64:70:02:46:09:5e
Ap10,j,46:91:60:ac:6f:ac
Ap11,k,f8:0f:6f:22:42:0f
Ap12,l,c0:4a:00:a4:6b:a8
Ap13,m,90:f6:52:f5:d7:1a
Ap14,n,c0:4a:00:a4:6b:fc
Ap15,o,a2:f3:c1:d4:3d:a2
Ap16,p,90:f6:52:dc:15:4a
Ap17,q,b0:4e:26:19:95:f9
Ap18,r,c2:4a:00:a4:6b:b8
Ap19,s,b2:be:76:a0:0b:ee
Ap20,t,c2:4a:00:a4:6b:b6
Ap21,u,24:d3:f2:f9:87:f6
Ap22,v,c0:4a:00:a4:6b:b8
Ap23,w,c2:4a:00:a4:6b:a8
Ap24,x,b0:be:76:a0:0b:ee
Ap25,y,90:f6:52:58:4b:88
Ap26,z,c2:4a:00:a4:6b:fc
Ap27,B,90:f6:52:dc:17:4a
Ap28,C,fa:8f:ca:7b:3d:68
Ap29,D,90:f6:52:dc:17:b0
Ap30,E,f4:b5:aa:80:cf:b4
Ap31,F,38:46:08:53:2b:36
Ap32,G,44:ff:ba:1e:be:6a
Ap33,H,64:66:b3:60:65:e4
Ap34,I,b0:be:76:a0:0b:ef
Ap35,J,92:f6:52:f5:d1:7a
Ap36,K,8c:e0:81:7d:a5:a8
Ap37,L,92:f6:52:f5:d7:1a
Ap38,M,90:f6:52:dc:2e:88
Ap39,N,90:f6:52:f5:cf:42
Ap40,O,c4:e9:84:60:8d:9c
Ap41,P,90:f6:52:f5:d2:be
Ap42,Q,74:da:88:d5:4c:e2
Ap43,R,a8:b4:56:0d:b4:a0
Ap44,S,02:11:87:bd:3d:d1
Ap45,T,90:f6:52:f5:d1:7a
Ap46,U,b0:4e:26:87:71:1e
Ap47,V,24:58:6e:f1:c4:c4
Ap48,W,90:f6:52:dc:14:b6
Ap49,X,90:f6:52:f5:d1:d8
Ap50,Y,f8:0f:6f:22:42:40
Ap51,0,92:f6:52:f5:d1:d8
Ap52,Z,92:f6:52:f5:d2:be
Ap53,1,54:e6:fc:da:17:4e
Ap54,2,0e:80:63:64:f3:2d
Ap55,3,ac:84:c6:ff:80:2c
Ap56,4,0c:80:63:64:f3:2d
Ap57,5,84:74:2a:02:ad:eb
Ap58,6,24:58:6e:f1:c4:c5
Ap59,7,92:f6:52:dc:17:96
