mac_address	vlan_id	count_rec	vendor_name
A0:F3:C1:CB:4A:DC	999	41976	Tp-link Technologies Co.,ltd.
A0:F3:C1:CB:4B:24	999	41976	Tp-link Technologies Co.,ltd.
C4:6E:1F:64:8E:F7	999	41975	Tp-link Technologies Co.,ltd.
C4:6E:1F:64:8F:26	999	41975	Tp-link Technologies Co.,ltd.
A0:F3:C1:CB:4A:DF	999	41974	Tp-link Technologies Co.,ltd.
A0:F3:C1:CB:4B:2F	999	41974	Tp-link Technologies Co.,ltd.
C4:6E:1F:64:8E:F6	999	41974	Tp-link Technologies Co.,ltd.
A0:F3:C1:CB:4B:53	999	41973	Tp-link Technologies Co.,ltd.
A0:F3:C1:CB:4B:50	999	41973	Tp-link Technologies Co.,ltd.
A0:F3:C1:CB:4B:25	999	41972	Tp-link Technologies Co.,ltd.
A0:F3:C1:CB:4B:3D	999	41972	Tp-link Technologies Co.,ltd.
A0:F3:C1:CB:4A:DE	999	41972	Tp-link Technologies Co.,ltd.
A0:F3:C1:CB:4B:49	999	41971	Tp-link Technologies Co.,ltd.
A0:F3:C1:CB:4B:26	999	41971	Tp-link Technologies Co.,ltd.
A0:F3:C1:CB:4B:3C	999	41971	Tp-link Technologies Co.,ltd.
A0:F3:C1:CB:4A:DD	999	41971	Tp-link Technologies Co.,ltd.
A0:F3:C1:CB:4B:3E	999	41845	Tp-link Technologies Co.,ltd.
94:0C:6D:80:A6:FF	999	40292	Tp-link Technologies Co.,ltd.
B0:4E:26:24:AA:2D	999	35784	Tp-link Technologies Co.,ltd.
B0:4E:26:24:AA:37	999	33059	Tp-link Technologies Co.,ltd.
AC:84:C6:C4:6D:45	999	26950	Tp-link Technologies Co.,ltd.
B0:4E:26:D6:A6:86	999	26950	Tp-link Technologies Co.,ltd.
B0:4E:26:EA:E4:40	999	26949	Tp-link Technologies Co.,ltd.
AC:84:C6:C4:6D:43	999	26949	Tp-link Technologies Co.,ltd.
B0:4E:26:D6:A6:87	999	26948	Tp-link Technologies Co.,ltd.
B0:4E:26:D6:A6:89	999	26948	Tp-link Technologies Co.,ltd.
AC:84:C6:C4:6D:47	999	26948	Tp-link Technologies Co.,ltd.
B0:4E:26:D6:A6:88	999	26947	Tp-link Technologies Co.,ltd.
D8:0D:17:50:09:B0	999	20766	Tp-link Technologies Co.,ltd.
C4:6E:1F:6F:0B:31	999	18403	Tp-link Technologies Co.,ltd.
C4:6E:1F:6F:0B:30	999	18402	Tp-link Technologies Co.,ltd.
C4:6E:1F:6F:0B:2F	999	18401	Tp-link Technologies Co.,ltd.
